yr,C
1943,28.22222222
1943,28.22222222
1943,27.33333333
1943,25.88888889
1943,27.88888889
1943,28.38888889
1943,26.38888889
1943,26.33333333
1943,26
1943,26.44444444
1943,27.05555556
1943,27.94444444
1943,27.33333333
1943,27.11111111
1943,27.11111111
1943,27.83333333
1943,27.61111111
1943,26.72222222
1943,25.77777778
1943,27.22222222
1943,27.27777778
1943,26.88888889
1943,27.11111111
1943,25.72222222
1943,27.88888889
1943,27.44444444
1943,23.44444444
1943,22.72222222
1943,25.66666667
1943,26.16666667
1943,27.33333333
1943,26.72222222
1943,24.27777778
1943,26.55555556
1943,26.05555556
1943,26.44444444
1943,28.11111111
1943,26.5
1943,26.22222222
1943,26.5
1943,25.61111111
1943,24.94444444
1943,24.33333333
1943,24.88888889
1943,25.61111111
1943,26.61111111
1943,27.33333333
1943,27.27777778
1943,26.5
1943,24
1943,25
1943,23.5
1943,25.44444444
1943,25.66666667
1943,25.5
1943,25.94444444
1943,25.5
1943,26
1943,27.05555556
1943,27
1943,26.05555556
1943,25.55555556
1943,24.44444444
1943,24.55555556
1943,26.88888889
1943,24.72222222
1943,25.05555556
1943,24.94444444
1943,26.83333333
1943,24.5
1943,26.27777778
1943,23.22222222
1943,24.83333333
1943,23.38888889
1943,25
1943,26.38888889
1943,26.27777778
1943,26.55555556
1943,24.88888889
1943,23.88888889
1943,22.16666667
1943,23.44444444
1943,24.5
1943,25.05555556
1943,26.44444444
1943,26.27777778
1943,25.22222222
1943,25.66666667
1943,24.5
1943,25.5
1943,26.55555556
1943,24.94444444
1944,24.61111111
1944,25.5
1944,25.77777778
1944,25.44444444
1944,24.27777778
1944,22.5
1944,24.33333333
1944,24.72222222
1944,24.5
1944,24.77777778
1944,24.83333333
1944,26.22222222
1944,25.66666667
1944,25.27777778
1944,26.44444444
1944,25.61111111
1944,24.33333333
1944,26.11111111
1944,23.72222222
1944,22.33333333
1944,23.94444444
1944,23.33333333
1944,25.11111111
1944,24.55555556
1944,25.27777778
1944,23.22222222
1944,21.83333333
1944,24.33333333
1944,22.61111111
